时间戳,绝对时间,相对时间(s),功能码,参数,校验通过,Raw
11:51:20.500,11:51:20.500,162580.416,0x3E,0x00,True,
11:51:20.500,11:51:20.500,248980.416,0x3E,0x00,True,
