时间戳,绝对时间,相对时间(s),功能码,参数,校验通过,Roll,Pitch,Yaw,MagDisturb,Temp
17:17:39.443,17:17:39.443,645.662,0x82,0x00,True,0.89,-3.09,-39.02,0,48.46
17:17:49.443,17:17:49.443,655.662,0x82,0x00,True,0.89,-3.02,-39.02,0,48.49
17:17:59.443,17:17:59.443,665.662,0x82,0x00,True,0.95,-3.08,-39.02,0,48.51
17:18:09.467,17:18:09.467,675.686,0x82,0x00,True,0.85,-3.02,-39.02,0,48.55
17:18:19.457,17:18:19.457,685.676,0x82,0x00,True,0.9,-3.04,-39.02,0,48.56
17:18:29.458,17:18:29.458,695.677,0x82,0x00,True,0.9,-3.04,-39.02,0,48.54
17:18:39.473,17:18:39.473,705.692,0x82,0x00,True,0.93,-3.07,-39.02,0,48.59
17:18:49.473,17:18:49.473,715.692,0x82,0x00,True,0.89,-3.1,-39.02,0,48.54
17:18:59.472,17:18:59.472,725.691,0x82,0x00,True,0.91,-3.04,-39.02,0,48.55
17:19:09.473,17:19:09.473,735.692,0x82,0x00,True,0.88,-3.06,-39.02,0,48.5
17:19:19.473,17:19:19.473,745.692,0x82,0x00,True,0.9,-3.09,-39.02,0,48.56
17:19:29.483,17:19:29.483,755.702,0x82,0x00,True,0.87,-3.08,-39.01,0,48.46
17:19:39.483,17:19:39.483,765.702,0x82,0x00,True,0.88,-3.08,-39.01,0,48.51
17:19:49.483,17:19:49.483,775.702,0x82,0x00,True,0.88,-3.03,-39.01,0,48.5
17:19:59.483,17:19:59.483,785.702,0x82,0x00,True,0.9,-3.07,-39.01,0,48.47
17:20:09.492,17:20:09.492,795.711,0x82,0x00,True,0.88,-3.04,-39.01,0,48.47
17:20:19.492,17:20:19.492,805.711,0x82,0x00,True,0.88,-3.03,-39.01,0,48.48
17:20:29.503,17:20:29.503,815.722,0x82,0x00,True,0.92,-3.03,-39.01,0,48.45
17:20:39.502,17:20:39.502,825.721,0x82,0x00,True,0.87,-3.04,-39.01,0,48.38
17:20:49.502,17:20:49.502,835.721,0x82,0x00,True,0.9,-3.08,-39.01,0,48.3
17:20:59.512,17:20:59.512,845.731,0x82,0x00,True,0.9,-3.02,-39.01,0,48.34
17:21:09.513,17:21:09.513,855.732,0x82,0x00,True,0.88,-3.05,-39.01,0,48.33
17:21:19.523,17:21:19.523,865.742,0x82,0x00,True,0.88,-3.06,-39.01,0,48.29
17:21:29.522,17:21:29.522,875.741,0x82,0x00,True,0.89,-3.03,-39.01,0,48.34
17:21:39.522,17:21:39.522,885.741,0x82,0x00,True,0.9,-3.08,-39.01,0,48.27
17:21:49.537,17:21:49.537,895.756,0x82,0x00,True,0.92,-3.02,-39.01,0,48.25
17:21:59.537,17:21:59.537,905.756,0x82,0x00,True,0.87,-3.08,-39.01,0,48.33
17:22:09.537,17:22:09.537,915.756,0x82,0x00,True,0.92,-3.07,-39.01,0,48.21
17:22:19.542,17:22:19.542,925.761,0x82,0x00,True,0.88,-3.04,-39.01,0,48.18
17:22:29.563,17:22:29.563,935.782,0x82,0x00,True,0.91,-3.05,-39.01,0,48.24
17:22:39.553,17:22:39.553,945.772,0x82,0x00,True,0.88,-3.05,-39.01,0,48.16
17:22:49.553,17:22:49.553,955.772,0x82,0x00,True,0.91,-3.09,-39.01,0,48.16
17:22:59.552,17:22:59.552,965.771,0x82,0x00,True,0.86,-3.06,-39.01,0,48.09
17:23:09.552,17:23:09.552,975.771,0x82,0x00,True,0.89,-3.04,-39.01,0,48.02
17:23:19.563,17:23:19.563,985.782,0x82,0x00,True,0.88,-3.05,-39.01,0,48.06
17:23:29.587,17:23:29.587,995.806,0x82,0x00,True,0.91,-3.06,-39.01,0,48.06
17:23:39.562,17:23:39.562,1005.781,0x82,0x00,True,0.89,-3.07,-39.01,0,48.0
17:23:49.572,17:23:49.572,1015.791,0x82,0x00,True,0.89,-3.03,-39.01,0,47.98
17:23:59.572,17:23:59.572,1025.791,0x82,0x00,True,0.88,-3.09,-39.01,0,48.06
17:24:09.572,17:24:09.572,1035.791,0x82,0x00,True,0.91,-3.06,-39.01,0,47.95
17:24:19.572,17:24:19.572,1045.791,0x82,0x00,True,0.9,-3.07,-39.01,0,47.86
17:24:29.582,17:24:29.582,1055.801,0x82,0x00,True,0.89,-3.07,-39.01,0,47.91
17:24:39.582,17:24:39.582,1065.801,0x82,0x00,True,0.88,-3.04,-39.01,0,47.8
17:24:49.582,17:24:49.582,1075.801,0x82,0x00,True,0.9,-3.06,-39.01,0,47.74
17:24:59.582,17:24:59.582,1085.801,0x82,0x00,True,0.92,-3.08,-39.01,0,47.69
17:25:09.592,17:25:09.592,1095.811,0x82,0x00,True,0.89,-3.01,-39.01,0,47.67
17:25:19.592,17:25:19.592,1105.811,0x82,0x00,True,0.91,-3.08,-39.01,0,47.69
17:25:29.593,17:25:29.593,1115.812,0x82,0x00,True,0.89,-3.03,-39.01,0,47.64
17:25:39.592,17:25:39.592,1125.811,0x82,0x00,True,0.89,-3.08,-39.01,0,47.59
17:25:49.603,17:25:49.603,1135.822,0x82,0x00,True,0.9,-3.04,-39.01,0,47.5
17:25:59.603,17:25:59.603,1145.822,0x82,0x00,True,0.86,-3.1,-39.01,0,47.44
17:26:09.603,17:26:09.603,1155.822,0x82,0x00,True,0.85,-2.97,-39.01,0,47.49
17:26:19.617,17:26:19.617,1165.836,0x82,0x00,True,0.88,-3.02,-39.01,0,47.33
17:26:29.617,17:26:29.617,1175.836,0x82,0x00,True,0.85,-3.05,-39.01,0,47.42
17:26:39.617,17:26:39.617,1185.836,0x82,0x00,True,0.88,-3.04,-39.01,0,47.38
17:26:49.617,17:26:49.617,1195.836,0x82,0x00,True,0.86,-3.06,-39.01,0,47.27
17:26:59.617,17:26:59.617,1205.836,0x82,0x00,True,0.89,-3.03,-39.01,0,47.21
17:27:09.617,17:27:09.617,1215.836,0x82,0x00,True,0.88,-2.99,-39.01,0,47.22
17:27:19.622,17:27:19.622,1225.841,0x82,0x00,True,0.92,-2.99,-39.01,0,47.17
17:27:29.622,17:27:29.622,1235.841,0x82,0x00,True,0.88,-3.02,-39.01,0,47.13
17:27:39.632,17:27:39.632,1245.851,0x82,0x00,True,0.85,-3.05,-39.01,0,47.04
17:27:49.632,17:27:49.632,1255.851,0x82,0x00,True,0.86,-3.05,-39.01,0,46.98
17:27:59.643,17:27:59.643,1265.862,0x82,0x00,True,0.89,-3.05,-39.01,0,46.97
17:28:09.632,17:28:09.632,1275.851,0x82,0x00,True,0.85,-3.02,-39.01,0,46.92
17:28:19.632,17:28:19.632,1285.851,0x82,0x00,True,0.88,-3.06,-39.01,0,46.89
17:28:29.633,17:28:29.633,1295.852,0x82,0x00,True,0.87,-3.02,-39.01,0,46.95
17:28:39.633,17:28:39.633,1305.852,0x82,0x00,True,0.85,-3.02,-39.01,0,46.82
17:28:49.632,17:28:49.632,1315.851,0x82,0x00,True,0.9,-3.08,-39.01,0,46.87
17:28:59.642,17:28:59.642,1325.861,0x82,0x00,True,0.86,-3.06,-39.01,0,46.86
17:29:09.642,17:29:09.642,1335.861,0x82,0x00,True,0.92,-3.08,-39.01,0,46.79
17:29:19.643,17:29:19.643,1345.862,0x82,0x00,True,0.87,-3.08,-39.01,0,46.74
17:29:29.653,17:29:29.653,1355.872,0x82,0x00,True,0.87,-3.05,-39.01,0,46.64
17:29:39.642,17:29:39.642,1365.861,0x82,0x00,True,0.89,-3.04,-39.01,0,46.56
17:29:49.642,17:29:49.642,1375.861,0x82,0x00,True,0.9,-3.04,-39.01,0,46.61
17:29:59.653,17:29:59.653,1385.872,0x82,0x00,True,0.85,-3.02,-39.01,0,46.52
17:30:09.653,17:30:09.653,1395.872,0x82,0x00,True,0.86,-3.04,-39.01,0,46.61
17:30:19.643,17:30:19.643,1405.862,0x82,0x00,True,0.84,-3.0,-39.02,0,46.48
17:30:29.652,17:30:29.652,1415.871,0x82,0x00,True,0.88,-3.07,-39.02,0,46.44
17:30:39.668,17:30:39.668,1425.887,0x82,0x00,True,0.91,-3.08,-39.02,0,46.43
17:30:49.653,17:30:49.653,1435.872,0x82,0x00,True,0.88,-3.06,-39.02,0,46.41
17:30:59.662,17:30:59.662,1445.881,0x82,0x00,True,0.89,-3.01,-39.02,0,46.34
17:31:09.652,17:31:09.652,1455.871,0x82,0x00,True,0.86,-3.02,-39.02,0,46.34
17:31:19.662,17:31:19.662,1465.881,0x82,0x00,True,0.86,-3.03,-39.02,0,46.24
17:31:29.702,17:31:29.702,1475.921,0x82,0x00,True,0.88,-3.06,-39.02,0,46.24
17:31:39.662,17:31:39.662,1485.881,0x82,0x00,True,0.86,-3.04,-39.02,0,46.23
17:31:49.662,17:31:49.662,1495.881,0x82,0x00,True,0.88,-3.06,-39.02,0,46.27
17:31:59.662,17:31:59.662,1505.881,0x82,0x00,True,0.88,-3.03,-39.02,0,46.19
17:32:09.717,17:32:09.717,1515.936,0x82,0x00,True,0.87,-3.08,-39.02,0,46.11
17:32:19.683,17:32:19.683,1525.902,0x82,0x00,True,0.88,-3.07,-39.02,0,46.13
17:32:29.672,17:32:29.672,1535.891,0x82,0x00,True,0.86,-3.08,-39.02,0,46.09
17:32:39.662,17:32:39.662,1545.881,0x82,0x00,True,0.89,-3.11,-39.02,0,46.15
17:32:49.662,17:32:49.662,1555.881,0x82,0x00,True,0.84,-3.09,-39.02,0,46.0
17:32:59.681,17:32:59.681,1565.9,0x82,0x00,True,0.84,-3.09,-39.02,0,46.07
17:33:09.662,17:33:09.662,1575.881,0x82,0x00,True,0.87,-3.07,-39.02,0,46.03
17:33:19.662,17:33:19.662,1585.881,0x82,0x00,True,0.87,-3.03,-39.02,0,45.91
17:33:29.671,17:33:29.671,1595.89,0x82,0x00,True,0.84,-3.05,-39.02,0,45.96
17:33:39.662,17:33:39.662,1605.881,0x82,0x00,True,0.88,-3.07,-39.02,0,45.95
17:33:49.692,17:33:49.692,1615.911,0x82,0x00,True,0.87,-3.08,-39.02,0,45.93
17:33:59.662,17:33:59.662,1625.881,0x82,0x00,True,0.89,-3.06,-39.02,0,46.03
17:34:09.662,17:34:09.662,1635.881,0x82,0x00,True,0.88,-3.08,-39.02,0,45.95
17:34:19.672,17:34:19.672,1645.891,0x82,0x00,True,0.87,-3.04,-39.02,0,45.95
17:34:29.672,17:34:29.672,1655.891,0x82,0x00,True,0.91,-3.08,-39.02,0,45.9
17:34:39.672,17:34:39.672,1665.891,0x82,0x00,True,0.87,-3.05,-39.02,0,45.91
17:34:49.672,17:34:49.672,1675.891,0x82,0x00,True,0.91,-3.06,-39.02,0,45.92
17:34:59.697,17:34:59.697,1685.916,0x82,0x00,True,0.88,-3.03,-39.02,0,45.87
17:35:09.672,17:35:09.672,1695.891,0x82,0x00,True,0.87,-3.03,-39.02,0,45.93
17:35:19.672,17:35:19.672,1705.891,0x82,0x00,True,0.89,-3.04,-39.02,0,45.93
17:35:29.683,17:35:29.683,1715.902,0x82,0x00,True,0.86,-3.05,-39.02,0,45.89
17:35:39.672,17:35:39.672,1725.891,0x82,0x00,True,0.87,-3.01,-39.02,0,45.87
17:35:49.683,17:35:49.683,1735.902,0x82,0x00,True,0.85,-3.03,-39.02,0,45.89
17:35:59.682,17:35:59.682,1745.901,0x82,0x00,True,0.87,-3.09,-39.02,0,45.84
17:36:09.682,17:36:09.682,1755.901,0x82,0x00,True,0.86,-3.08,-39.02,0,45.84
17:36:19.682,17:36:19.682,1765.901,0x82,0x00,True,0.83,-3.07,-39.02,0,45.88
17:36:29.683,17:36:29.683,1775.902,0x82,0x00,True,0.84,-3.07,-39.02,0,45.89
17:36:39.682,17:36:39.682,1785.901,0x82,0x00,True,0.84,-3.06,-39.02,0,45.86
17:36:49.683,17:36:49.683,1795.902,0x82,0x00,True,0.89,-3.08,-39.02,0,45.9
17:36:59.697,17:36:59.697,1805.916,0x82,0x00,True,0.83,-3.07,-39.02,0,45.91
17:37:09.697,17:37:09.697,1815.916,0x82,0x00,True,0.86,-3.09,-39.02,0,45.87
17:37:19.697,17:37:19.697,1825.916,0x82,0x00,True,0.89,-3.1,-39.02,0,45.76
17:37:29.697,17:37:29.697,1835.916,0x82,0x00,True,0.87,-3.06,-39.02,0,45.89
17:37:39.696,17:37:39.696,1845.915,0x82,0x00,True,0.88,-3.09,-39.02,0,45.9
17:37:49.697,17:37:49.697,1855.916,0x82,0x00,True,0.91,-3.09,-39.02,0,45.87
17:37:59.697,17:37:59.697,1865.916,0x82,0x00,True,0.85,-3.06,-39.02,0,45.9
17:38:09.697,17:38:09.697,1875.916,0x82,0x00,True,0.88,-3.07,-39.02,0,45.96
17:38:19.697,17:38:19.697,1885.916,0x82,0x00,True,0.86,-3.13,-39.02,0,46.0
17:38:29.702,17:38:29.702,1895.921,0x82,0x00,True,0.9,-3.09,-39.02,0,45.95
17:38:39.702,17:38:39.702,1905.921,0x82,0x00,True,0.88,-3.11,-39.02,0,45.95
17:38:49.702,17:38:49.702,1915.921,0x82,0x00,True,0.89,-3.05,-39.02,0,46.0
17:38:59.712,17:38:59.712,1925.931,0x82,0x00,True,0.89,-3.06,-39.02,0,45.99
17:39:09.712,17:39:09.712,1935.931,0x82,0x00,True,0.9,-3.1,-39.02,0,46.01
17:39:19.722,17:39:19.722,1945.941,0x82,0x00,True,0.87,-3.08,-39.02,0,46.05
17:39:29.712,17:39:29.712,1955.931,0x82,0x00,True,0.89,-3.03,-39.02,0,46.09
17:39:39.712,17:39:39.712,1965.931,0x82,0x00,True,0.88,-3.08,-39.02,0,46.15
17:39:49.728,17:39:49.728,1975.947,0x82,0x00,True,0.87,-3.05,-39.02,0,46.05
17:39:59.712,17:39:59.712,1985.931,0x82,0x00,True,0.84,-3.12,-39.02,0,46.16
17:40:09.727,17:40:09.727,1995.946,0x82,0x00,True,0.87,-3.07,-39.02,0,46.19
17:40:19.713,17:40:19.713,2005.932,0x82,0x00,True,0.86,-3.08,-39.02,0,46.18
17:40:29.733,17:40:29.733,2015.952,0x82,0x00,True,0.91,-3.07,-39.02,0,46.23
17:40:39.717,17:40:39.717,2025.936,0x82,0x00,True,0.89,-3.04,-39.02,0,46.2
17:40:49.712,17:40:49.712,2035.931,0x82,0x00,True,0.86,-3.06,-39.02,0,46.21
17:40:59.712,17:40:59.712,2045.931,0x82,0x00,True,0.88,-3.08,-39.02,0,46.24
17:41:09.712,17:41:09.712,2055.931,0x82,0x00,True,0.88,-3.09,-39.02,0,46.22
17:41:19.702,17:41:19.702,2065.921,0x82,0x00,True,0.89,-3.12,-39.02,0,46.3
17:41:29.733,17:41:29.733,2075.952,0x82,0x00,True,0.9,-3.12,-39.02,0,46.29
17:41:39.722,17:41:39.722,2085.941,0x82,0x00,True,0.85,-3.1,-39.02,0,46.25
17:41:49.722,17:41:49.722,2095.941,0x82,0x00,True,0.87,-3.08,-39.02,0,46.33
17:41:59.722,17:41:59.722,2105.941,0x82,0x00,True,0.89,-3.06,-39.02,0,46.33
17:42:09.723,17:42:09.723,2115.942,0x82,0x00,True,0.85,-3.08,-39.02,0,46.36
17:42:19.722,17:42:19.722,2125.941,0x82,0x00,True,0.87,-3.1,-39.02,0,46.39
17:42:29.732,17:42:29.732,2135.951,0x82,0x00,True,0.89,-3.09,-39.02,0,46.43
17:42:39.733,17:42:39.733,2145.952,0x82,0x00,True,0.87,-3.08,-39.02,0,46.39
17:42:49.732,17:42:49.732,2155.951,0x82,0x00,True,0.85,-3.08,-39.02,0,46.46
17:42:59.732,17:42:59.732,2165.951,0x82,0x00,True,0.87,-3.08,-39.02,0,46.5
17:43:09.732,17:43:09.732,2175.951,0x82,0x00,True,0.87,-3.12,-39.02,0,46.5
17:43:19.732,17:43:19.732,2185.951,0x82,0x00,True,0.9,-3.06,-39.02,0,46.63
17:43:29.733,17:43:29.733,2195.952,0x82,0x00,True,0.84,-3.11,-39.02,0,46.62
17:43:39.733,17:43:39.733,2205.952,0x82,0x00,True,0.89,-3.08,-39.02,0,46.64
17:43:49.752,17:43:49.752,2215.971,0x82,0x00,True,0.87,-3.11,-39.02,0,46.62
17:43:59.732,17:43:59.732,2225.951,0x82,0x00,True,0.86,-3.09,-39.02,0,46.64
17:44:09.742,17:44:09.742,2235.961,0x82,0x00,True,0.87,-3.09,-39.02,0,46.8
17:44:19.742,17:44:19.742,2245.961,0x82,0x00,True,0.84,-3.12,-39.02,0,46.72
17:44:29.742,17:44:29.742,2255.961,0x82,0x00,True,0.85,-3.05,-39.02,0,46.76
17:44:39.742,17:44:39.742,2265.961,0x82,0x00,True,0.88,-3.11,-39.02,0,46.85
17:44:49.742,17:44:49.742,2275.961,0x82,0x00,True,0.86,-3.06,-39.02,0,46.81
17:44:59.742,17:44:59.742,2285.961,0x82,0x00,True,0.9,-3.09,-39.02,0,46.8
17:45:09.742,17:45:09.742,2295.961,0x82,0x00,True,0.89,-3.08,-39.02,0,46.91
17:45:19.752,17:45:19.752,2305.971,0x82,0x00,True,0.9,-3.08,-39.02,0,46.86
17:45:29.752,17:45:29.752,2315.971,0x82,0x00,True,0.88,-3.11,-39.02,0,46.99
17:45:39.752,17:45:39.752,2325.971,0x82,0x00,True,0.83,-3.07,-39.02,0,46.93
17:45:49.752,17:45:49.752,2335.971,0x82,0x00,True,0.85,-3.1,-39.02,0,46.98
17:45:59.752,17:45:59.752,2345.971,0x82,0x00,True,0.9,-3.02,-39.02,0,47.07
17:46:09.752,17:46:09.752,2355.971,0x82,0x00,True,0.87,-3.08,-39.02,0,47.03
17:46:19.752,17:46:19.752,2365.971,0x82,0x00,True,0.89,-3.09,-39.02,0,47.03
17:46:29.762,17:46:29.762,2375.981,0x82,0x00,True,0.92,-3.08,-39.02,0,47.05
17:46:39.762,17:46:39.762,2385.981,0x82,0x00,True,0.89,-3.07,-39.02,0,47.09
17:46:49.762,17:46:49.762,2395.981,0x82,0x00,True,0.88,-3.1,-39.02,0,47.14
17:46:59.762,17:46:59.762,2405.981,0x82,0x00,True,0.85,-3.07,-39.02,0,47.19
17:47:09.763,17:47:09.763,2415.982,0x82,0x00,True,0.86,-3.06,-39.02,0,47.16
17:47:19.762,17:47:19.762,2425.981,0x82,0x00,True,0.89,-3.08,-39.02,0,47.25
17:47:29.778,17:47:29.778,2435.997,0x82,0x00,True,0.84,-3.11,-39.02,0,47.31
17:47:39.778,17:47:39.778,2445.997,0x82,0x00,True,0.89,-3.1,-39.02,0,47.24
17:47:49.778,17:47:49.778,2455.997,0x82,0x00,True,0.87,-3.09,-39.02,0,47.32
17:47:59.778,17:47:59.778,2465.997,0x82,0x00,True,0.88,-3.06,-39.02,0,47.36
17:48:09.776,17:48:09.776,2475.995,0x82,0x00,True,0.87,-3.07,-39.02,0,47.39
17:48:19.778,17:48:19.778,2485.997,0x82,0x00,True,0.89,-3.06,-39.02,0,47.42
17:48:29.777,17:48:29.777,2495.996,0x82,0x00,True,0.89,-3.09,-39.02,0,47.41
17:48:39.782,17:48:39.782,2506.001,0x82,0x00,True,0.88,-3.12,-39.02,0,47.54
17:48:49.782,17:48:49.782,2516.001,0x82,0x00,True,0.87,-3.1,-39.02,0,47.51
17:48:59.782,17:48:59.782,2526.001,0x82,0x00,True,0.9,-3.08,-39.02,0,47.5
17:49:09.792,17:49:09.792,2536.011,0x82,0x00,True,0.9,-3.08,-39.02,0,47.56
17:49:19.792,17:49:19.792,2546.011,0x82,0x00,True,0.9,-3.04,-39.02,0,47.52
17:49:29.792,17:49:29.792,2556.011,0x82,0x00,True,0.89,-3.05,-39.02,0,47.64
17:49:39.796,17:49:39.796,2566.015,0x82,0x00,True,0.88,-3.05,-39.02,0,47.55
17:49:49.792,17:49:49.792,2576.011,0x82,0x00,True,0.91,-3.08,-39.02,0,47.62
17:49:59.792,17:49:59.792,2586.011,0x82,0x00,True,0.88,-3.09,-39.02,0,47.62
17:50:09.827,17:50:09.827,2596.046,0x82,0x00,True,0.87,-3.08,-39.02,0,47.7
17:50:19.792,17:50:19.792,2606.011,0x82,0x00,True,0.86,-3.07,-39.02,0,47.69
17:50:29.802,17:50:29.802,2616.021,0x82,0x00,True,0.88,-3.03,-39.02,0,47.64
17:50:39.802,17:50:39.802,2626.021,0x82,0x00,True,0.88,-3.09,-39.02,0,47.8
