时间戳,绝对时间,相对时间(s),功能码,参数,校验通过,MagNorm,Mx,My,Mz
17:08:12.243,17:08:12.243,2031.903,0x8A,0x00,True,4,3.18,3.79,-0.4
17:08:42.277,17:08:42.277,2061.937,0x8A,0x00,True,4,3.18,3.82,-0.39
17:09:12.280,17:09:12.280,2091.94,0x8A,0x00,True,4,3.18,3.81,-0.43
17:09:42.320,17:09:42.320,2121.98,0x8A,0x00,True,4,3.19,3.8,-0.41
17:10:12.340,17:10:12.340,2152.0,0x8A,0x00,True,4,3.17,3.78,-0.42
17:10:42.365,17:10:42.365,2182.025,0x8A,0x00,True,4,3.18,3.81,-0.44
17:11:12.390,17:11:12.390,2212.05,0x8A,0x00,True,4,3.16,3.81,-0.38
17:11:42.421,17:11:42.421,2242.081,0x8A,0x00,True,4,3.19,3.77,-0.37
17:12:12.425,17:12:12.425,2272.085,0x8A,0x00,True,4,3.2,3.8,-0.42
17:12:42.445,17:12:42.445,2302.105,0x8A,0x00,True,4,3.19,3.79,-0.42
17:13:12.490,17:13:12.490,2332.15,0x8A,0x00,True,4,3.16,3.83,-0.38
17:13:42.510,17:13:42.510,2362.17,0x8A,0x00,True,4,3.18,3.82,-0.41
17:14:12.515,17:14:12.515,2392.175,0x8A,0x00,True,4,3.21,3.79,-0.41
17:14:42.561,17:14:42.561,2422.221,0x8A,0x00,True,4,3.18,3.81,-0.4
17:15:12.575,17:15:12.575,2452.235,0x8A,0x00,True,4,3.16,3.8,-0.41
17:15:42.585,17:15:42.585,2482.245,0x8A,0x00,True,4,3.17,3.82,-0.42
17:16:12.625,17:16:12.625,2512.285,0x8A,0x00,True,4,3.21,3.78,-0.39
17:16:42.640,17:16:42.640,2542.3,0x8A,0x00,True,5,3.18,3.83,-0.4
17:17:12.665,17:17:12.665,2572.325,0x8A,0x00,True,4,3.2,3.8,-0.4
17:17:42.670,17:17:42.670,2602.33,0x8A,0x00,True,4,3.2,3.77,-0.4
17:18:12.705,17:18:12.705,2632.365,0x8A,0x00,True,5,3.22,3.84,-0.42
17:18:42.759,17:18:42.759,2662.419,0x8A,0x00,True,4,3.2,3.79,-0.41
17:19:12.735,17:19:12.735,2692.395,0x8A,0x00,True,4,3.17,3.8,-0.4
17:19:42.766,17:19:42.766,2722.426,0x8A,0x00,True,5,3.21,3.81,-0.39
17:20:12.795,17:20:12.795,2752.455,0x8A,0x00,True,4,3.2,3.8,-0.39
17:20:42.815,17:20:42.815,2782.475,0x8A,0x00,True,4,3.2,3.8,-0.42
17:21:12.830,17:21:12.830,2812.49,0x8A,0x00,True,4,3.2,3.79,-0.43
17:21:42.845,17:21:42.845,2842.505,0x8A,0x00,True,4,3.18,3.79,-0.43
17:22:12.875,17:22:12.875,2872.535,0x8A,0x00,True,4,3.18,3.83,-0.41
17:22:42.895,17:22:42.895,2902.555,0x8A,0x00,True,4,3.2,3.8,-0.44
17:23:12.905,17:23:12.905,2932.565,0x8A,0x00,True,5,3.21,3.83,-0.44
17:23:42.936,17:23:42.936,2962.596,0x8A,0x00,True,5,3.19,3.83,-0.46
17:24:12.955,17:24:12.955,2992.615,0x8A,0x00,True,4,3.18,3.81,-0.39
17:24:42.975,17:24:42.975,3022.635,0x8A,0x00,True,4,3.2,3.81,-0.39
17:25:12.994,17:25:12.994,3052.654,0x8A,0x00,True,5,3.18,3.84,-0.37
17:25:43.016,17:25:43.016,3082.676,0x8A,0x00,True,4,3.2,3.79,-0.41
17:26:13.038,17:26:13.038,3112.698,0x8A,0x00,True,4,3.19,3.79,-0.43
17:26:43.050,17:26:43.050,3142.71,0x8A,0x00,True,5,3.24,3.87,-0.41
17:27:13.065,17:27:13.065,3172.725,0x8A,0x00,True,5,3.18,3.88,-0.4
17:27:43.070,17:27:43.070,3202.73,0x8A,0x00,True,4,3.19,3.8,-0.38
17:28:13.105,17:28:13.105,3232.765,0x8A,0x00,True,5,3.22,3.83,-0.39
17:28:43.110,17:28:43.110,3262.77,0x8A,0x00,True,4,3.21,3.77,-0.43
17:29:13.141,17:29:13.141,3292.801,0x8A,0x00,True,5,3.19,3.83,-0.47
17:29:43.165,17:29:43.165,3322.825,0x8A,0x00,True,5,3.2,3.81,-0.42
17:30:13.170,17:30:13.170,3352.83,0x8A,0x00,True,4,3.19,3.81,-0.41
17:30:43.205,17:30:43.205,3382.865,0x8A,0x00,True,4,3.2,3.81,-0.41
17:31:13.210,17:31:13.210,3412.87,0x8A,0x00,True,5,3.21,3.82,-0.42
17:31:43.230,17:31:43.230,3442.89,0x8A,0x00,True,5,3.2,3.82,-0.41
17:32:13.261,17:32:13.261,3472.921,0x8A,0x00,True,5,3.18,3.83,-0.41
17:32:43.285,17:32:43.285,3502.945,0x8A,0x00,True,4,3.21,3.8,-0.43
