时间戳,绝对时间,相对时间(s),功能码,参数,校验通过,Raw
08:14:27.037,08:14:27.037,56406.697,0x65,0x72,False,2d4167656e743a204d6f7a696c6c612f352e3020284c696e75783b20416e64726f69642031303b204b29204170706c655765624b69742f3533372e333620284b48544d4c2c206c696b65204765636b6f29204368726f6d652f3133372e302e302e30205361666172692f3533372e3336
10:19:55.524,10:19:55.524,63935.184,0x65,0x72,False,2d4167656e743a204d6f7a696c6c612f352e3020284c696e75783b20416e64726f69642031303b204b29204170706c655765624b69742f3533372e333620284b48544d4c2c206c696b65204765636b6f29204368726f6d652f3133372e302e302e30205361666172692f3533372e3336
